X,Y,Z,section_name,source_layer,feature_type,confidence,use_as_hard,note,dist_F2_m,dist_F7_m,nearest
2299.3565309999976,-103.64587999973446,1844.38894439,K00,posuidai,fracture_hint,medium,0,,1481.3143703877638,43.254154160863536,F7
2298.5021179999458,-96.80571999959648,1828.64080364,K00,posuidai,fracture_hint,medium,0,,1480.9882587650454,36.89770150551786,F7
2300.5287020000396,-113.02990000043064,1847.51082251,K00,posuidai,fracture_hint,medium,0,,1481.8138222601708,51.54457142931462,F7
2299.617797999992,-105.73749999981374,1832.66455766,K00,posuidai,fracture_hint,medium,0,,1481.4204800824546,45.12897681411949,F7
2280.9463909999467,43.73981999978423,1799.2007992,K00,Z1,structure_hint,medium,0,,1481.3893645009791,96.71232885474768,F7
2284.1798870000057,17.853480000048876,1612.58741259,K00,Z1,structure_hint,medium,0,,1480.2976648491174,71.6342228104489,F7
2284.4035879999865,16.062610000371933,1599.6003996,K00,Z1,structure_hint,medium,0,,1480.2391141591988,69.89926826427252,F7
2284.55611200002,14.841550000011921,1591.50849151,K00,Z1,structure_hint,medium,0,,1480.200452272555,68.71633267467885,F7
2284.8408220000565,12.562250000424683,1575.42457542,K00,Z1,structure_hint,medium,0,,1480.131018338888,66.50819787214535,F7
2284.9730089999503,11.504010000266135,1568.23176823,K00,Z1,structure_hint,medium,0,,1480.0999930010285,65.48299881247122,F7
2285.2373829999706,9.387509999796748,1553.44655345,K00,Z1,structure_hint,medium,0,,1480.0402427234956,63.43258093222357,F7
2285.4305790000362,7.840839999727905,1542.45754246,K00,Z1,structure_hint,medium,0,,1479.998521581619,61.93420161621028,F7
2285.7559630000032,5.235930000431836,1523.77622378,K00,Z1,structure_hint,medium,0,,1479.9319648993398,59.41062339564687,F7
2285.888149000006,4.177679999731481,1516.18381618,K00,Z1,structure_hint,medium,0,,1479.906253524315,58.38541430085913,F7
2286.203364999965,1.6541699999943376,1498.1018981,K00,Z1,structure_hint,medium,0,,1479.8480460913738,55.94069454143865,F7
2286.4067290000385,0.026100000366568565,1486.51348651,K00,Z1,structure_hint,medium,0,,1479.812810077914,54.36345676428242,F7
2286.9151400000555,-4.044080000370741,1457.34265734,K00,Z1,structure_hint,medium,0,,1479.7326757903393,50.42035753372463,F7
2287.0371590000577,-5.020920000039041,1450.24975025,K00,Z1,structure_hint,medium,0,,1479.7151356299591,49.47401693613156,F7
2287.5354019999504,-9.009700000286102,1421.37862138,K00,Z1,structure_hint,medium,0,,1479.6503050548033,45.609776167618925,F7
2287.7285990000237,-10.55635999981314,1410.58941059,K00,Z1,structure_hint,medium,0,,1479.6281062533965,44.11140688673719,F7
2295.748222999973,-74.75891000032425,1831.34643135,K00,Z2,structure_hint,medium,0,,1480.155172840844,16.409949231469234,F7
2295.917693000054,-76.11564000044018,1820.94017094,K00,Z2,structure_hint,medium,0,,1480.196822415139,17.67073722248694,F7
2296.4825949999504,-80.63805999979377,1788.26451326,K00,Z2,structure_hint,medium,0,,1480.3447695881678,21.87335047953845,F7
2296.715617000009,-82.50356000009924,1775.36075036,K00,Z2,structure_hint,medium,0,,1480.4098808439524,23.60693015400509,F7
2297.0051290000556,-84.82129999995232,1758.78010878,K00,Z2,structure_hint,medium,0,,1480.4940982567834,25.76076928180184,F7
2297.344069999992,-87.53474999964237,1739.07758908,K00,Z2,structure_hint,medium,0,,1480.5973706393868,28.282335364106125,F7
2297.972522999975,-92.56594999972731,1702.86380286,K00,Z2,structure_hint,medium,0,,1480.802196719664,32.95775020436909,F7
2298.127870999975,-93.8096099998802,1694.05316905,K00,Z2,structure_hint,medium,0,,1480.8555002144212,34.11346356754831,F7
2298.375014999998,-95.78816999960691,1679.9006549,K00,Z2,structure_hint,medium,0,,1480.942481966718,35.952108239722904,F7
2298.6221590000205,-97.76673000026494,1666.3031413,K00,Z2,structure_hint,medium,0,,1481.032143078476,37.79075291279432,F7
2298.8622429999523,-99.68876000028104,1652.77500278,K00,Z2,structure_hint,medium,0,,1481.1218088375222,39.57686481651435,F7
2299.081142000039,-101.44120000023395,1640.91186591,K00,Z2,structure_hint,medium,0,,1481.2057645797277,41.2053797620082,F7
2300.3662930000573,-111.72970000002533,1566.88866689,K00,Z2,structure_hint,medium,0,,1481.7410296621138,50.40070132188436,F7
2300.938256000052,-116.30865999963135,1534.07425907,K00,Z2,structure_hint,medium,0,,1482.0025158036165,54.42910827589079,F7
2301.2489520000527,-118.7959899995476,1516.7998668,K00,Z2,structure_hint,medium,0,,1482.1505606104352,56.617372866795584,F7
2301.489034999977,-120.7180199995637,1503.61860362,K00,Z2,structure_hint,medium,0,,1482.2678516991452,58.30830680487031,F7
2301.651443999959,-122.01821000035852,1494.5998446,K00,Z2,structure_hint,medium,0,,1482.348625928855,59.45216764561223,F7
2301.7997299999697,-123.20535000041127,1485.58108558,K00,Z2,structure_hint,medium,0,,1482.4233828456013,60.49657177243082,F7
2302.046875,-125.18391000013798,1471.98357198,K00,Z2,structure_hint,medium,0,,1482.5501167826064,62.2372385124398,F7
2302.2022230000002,-126.42757000029087,1462.68731269,K00,Z2,structure_hint,medium,0,,1482.6311451830454,63.331366174548,F7
2302.442306000041,-128.34960000030696,1448.81229881,K00,Z2,structure_hint,medium,0,,1482.7584450981371,65.02230011257898,F7
2302.604715000023,-129.64979999978095,1439.51603952,K00,Z2,structure_hint,medium,0,,1482.845987984431,66.16617021914618,F7
2302.8165530000115,-131.34571000002325,1426.1960262,K00,Z2,structure_hint,medium,0,,1482.961906841182,67.65817182106797,F7
2051.233988999971,33.50023999996483,1774.11613036,K07,D,fracture_hint,medium,0,,1253.7569368052684,60.29950245499596,F7
2051.2349170000525,40.10558000020683,1759.9779978,K07,D,fracture_hint,medium,0,,1255.078884231851,66.8394666487194,F7
2051.246656000032,123.66007999982685,1746.24381188,K07,Z1,structure_hint,medium,0,,1274.64076522247,149.1459750606685,F7
2051.2443859999767,107.50535999983549,1666.16138958,K07,Z1,structure_hint,medium,0,,1270.4536369866385,133.4408514365363,F7
2051.2433830000227,100.3634299999103,1630.00816488,K07,Z1,structure_hint,medium,0,,1268.663697123149,126.49768612915295,F7
2051.242181999958,91.81888999976218,1588.40166048,K07,Z1,structure_hint,medium,0,,1266.571817814318,118.04094839227488,F7
2051.2412939999485,85.49767000041902,1557.19678218,K07,Z1,structure_hint,medium,0,,1265.0591683404016,111.78229215694488,F7
2051.2402249999577,77.88820999953896,1519.22579758,K07,Z1,structure_hint,medium,0,,1263.277801153231,104.24814616728791,F7
2051.238153000013,63.13896999973804,1446.6163882,K07,Z1,structure_hint,medium,0,,1259.9487205890289,89.64488557285298,F7
1828.1457060000394,187.87781000044197,1649.89349012,K15,Z1,structure_hint,medium,0,,1083.3121395244734,157.97726179019386,F7
1828.142341000028,154.54856000002474,1531.19887526,K15,Z1,structure_hint,medium,0,,1071.3896062306903,124.93856354557458,F7
1828.1420940000098,152.09944999963045,1522.40115883,K15,Z1,structure_hint,medium,0,,1070.549200265442,122.5150200774166,F7
1828.141598999966,147.20122000016272,1505.25306748,K15,Z1,structure_hint,medium,0,,1068.883236603145,117.67109921126584,F7
1828.141244999948,143.68728000018746,1492.57839127,K15,Z1,structure_hint,medium,0,,1067.7003339194669,114.19897427374264,F7
1828.1409869999625,141.13167999964207,1483.40789025,K15,Z1,structure_hint,medium,0,,1066.846484012031,111.67542824061992,F7
1828.140492000035,136.23345000017434,1465.4396728,K15,Z1,structure_hint,medium,0,,1065.2251635558005,106.8403759218318,F7
1828.1402450000169,133.78433999978006,1456.64195637,K15,Z1,structure_hint,medium,0,,1064.4220320724935,104.42286052766286,F7
1828.139697000035,128.35369000025094,1436.95892979,K15,Z1,structure_hint,medium,0,,1062.6591396247572,99.0622682754164,F7
