fault,dip_direction_deg,strike_deg_right_hand,strike_deg_alternative,dip_deg,orientation_source,surface_generation_method,n_surface_points,surface_points_x_min,surface_points_x_max,surface_points_y_min,surface_points_y_max,surface_points_z_min,surface_points_z_max,trace_start_x,trace_start_y,trace_start_z,trace_end_x,trace_end_y,trace_end_z,surface_z_top,surface_z_bottom,depth_extent_m,vtk_surface_path,vtk_surface_bounds,median_point_to_plane_distance_m,p90_point_to_plane_distance_m
F2,200.000000,290.000000,110.000000,67.000000,gempy_orientations.csv mapped mean attitude; not point-level measured orientation,route_b Eq.1-style mapped-attitude planar surface; fixed azimuth/dip; plane placed through median normal projection of surface points; extruded down-dip to z_bottom,132,217.532245,2669.024490,110.675040,1264.343510,1401.160093,1945.702861,2659.427079,294.840079,1965.702861,157.218779,1205.569420,1965.702861,1965.702861,1351.000000,614.702861,not_included_public_release,"(67.9768711161, 2659.42707892, 49.6499513742, 1205.56942012, 1351, 1965.70286113)",155.205504,304.490316
F7,30.000000,120.000000,300.000000,65.000000,gempy_orientations.csv mapped mean attitude; not point-level measured orientation,route_b Eq.1-style mapped-attitude planar surface; fixed azimuth/dip; plane placed through median normal projection of surface points; extruded down-dip to z_bottom,63,4428.138794,4902.816553,368.654290,687.877810,1405.048569,1847.510823,4353.514129,608.612126,1867.510823,4891.046373,298.267740,1867.510823,1867.510823,1351.000000,516.510823,not_included_public_release,"(4353.5141288, 5011.47284917, 298.267740463, 817.196901489, 1351, 1867.51082251)",57.205622,118.136538
