zone,n,median_pairwise_3d_ratio,metric_name,main_text_use
MZ-I,86,23.414948862801715,pairwise_3D_fault_distance_separation_ratio,NO
MZ-II,141,47.988064415635385,pairwise_3D_fault_distance_separation_ratio,NO
