fault,model_family,n_points,n_sections,mean_LOSO_RMSE_m,SE_LOSO_RMSE_m,mean_LOSO_MAE_m,mean_LOSO_median_abs_dev_m,full_fit_RMSE_m,full_fit_MAE_m,full_fit_median_abs_dev_m,parameter_count,continuous_surface,best_plus_1SE_threshold_m,admissible,selection_rule
F2,single_plane,132,8,559.9123185400585,74.13721698580022,535.1766602815792,528.5682091409908,412.1363308684021,367.0992139607163,366.4242951191263,3,True,584.7096407408333,True,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F2,segmented_plane,132,8,506.7248051729836,77.98483556784963,480.2907469094929,491.7432251464561,306.2862902187143,249.149919739957,190.25044765067287,4,True,584.7096407408333,True,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F2,quadratic_surface,132,8,699.0790916219067,104.83820693296029,652.915972385557,664.2179990433142,358.0332562972535,308.2103957846385,314.4428639266989,6,True,584.7096407408333,False,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F2,trace_constrained_ruled,132,8,619.6320339429433,124.52697609713222,581.2630927719871,657.4775789324194,770.2279098681167,622.6045692586199,464.93404709524475,1,True,584.7096407408333,False,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F7,single_plane,63,3,144.10153334888042,63.029746191208716,137.95554411898294,132.85750031669158,87.70474545235105,75.2253486273814,59.22548736596946,3,True,176.5031581747536,True,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F7,segmented_plane,63,3,143.57247817033144,32.93068000442214,129.0001029668401,123.63905943945672,44.53982916583221,28.836643216019084,17.106788103701547,4,True,176.5031581747536,True,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F7,quadratic_surface,63,3,204.94650985245616,95.26866524726452,173.00654456919838,137.37299551135706,43.801941312798114,30.071527712146885,22.395103590679355,6,True,176.5031581747536,False,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
F7,trace_constrained_ruled,63,3,376.0570897647079,53.23804716062236,340.01357775802626,335.82604028804536,281.3901604803488,236.72749782696786,207.72338246833533,1,True,176.5031581747536,False,mean_LOSO_RMSE <= best mean + SE(best); continuous surface
