scenario_id,seed,n_points,n_mc,n_competing_faults,minimum_base_spacing,curvature_rms,amplitude_median,dip_base_control,dip_y_variation_control,dip_depth_variation_control,ore_scatter_scale,perturbation_scale,baseline_accuracy,DSI_2D,DSI_3D,distance_diff_2D,distance_diff_3D,normalized_margin_2D,normalized_margin_3D,reversal_probability,binary_reversal_label,point_level_reattribution_probability,generator
OOD_0000,974935060,60,50,5,162.3981871126316,59.50405950300858,55.74503716276385,61.85222459663013,9.823674943225093,7.968634515703567,110.0,60.0,0.7333333333333333,0.48834732114436863,2.5255423980072464,-82.40141307347146,91.13719820959818,-0.34379352151877046,0.4326904349132886,1.0,1,0.30066666666666664,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0001,1065962971,60,50,3,998.5900458819999,89.61977813039692,75.7809419166477,62.07622170754439,5.480842654353742,3.7106857021398856,35.0,120.0,1.0,7.429060488608883,41.48101389486408,631.5464571183886,734.9762338494097,0.7624870187564803,0.9529201166748815,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0002,332993856,60,50,1,869.0332312544098,129.74365913923126,23.524256639730382,64.06626223362481,0.4292988597048737,6.753619063569445,15.0,25.0,1.0,7.715668686989376,94.9581645151724,661.1208070095231,766.838597494622,0.7704927003620314,0.9791378053879418,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0003,984257795,60,50,5,836.9461123281682,96.22143386599139,35.63206245191908,63.90207690679298,-2.8927589376728697,1.101266673043808,15.0,10.0,1.0,5.491654283279477,86.6694504880027,531.8372287809448,673.2736854413477,0.6919120643969938,0.9771777106172959,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0004,1723675166,60,50,1,937.8954386834588,102.2909880889838,26.015728601264616,72.63287839427318,-7.855600708021209,-3.3895641895033286,15.0,60.0,1.0,14.450621302129179,89.16969722572112,788.7931072968147,779.3405373544606,0.8702690992215676,0.9778185346254787,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0005,280708977,60,50,3,207.73996347787983,63.405591070930654,42.5984573127748,72.96038700307255,-2.4003911209674573,3.603987265419166,15.0,25.0,1.0,2.1615628789419135,20.197286207588828,75.44700212256868,164.21376605893784,0.36601734514784373,0.9055145528961381,0.0,0,0.001,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0006,1688569860,60,50,4,654.9501539203033,81.33536220023282,67.97815132843797,75.1188755981079,3.7958132804990736,1.984259764825394,110.0,60.0,0.9833333333333333,9.109347514730644,12.966679028842293,463.96717672815697,554.7336676988232,0.8021128014619121,0.8567882140410972,0.0,0,0.010666666666666666,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0007,1879704688,60,50,1,568.3862327172142,116.50303760966597,51.2917395968482,74.34059307676222,0.24900544938652125,-4.649835640175942,110.0,60.0,1.0,6.0085531409614354,7.7026149348566,404.820032128102,462.9233734387696,0.7144462616054994,0.7701837868779438,0.02,1,0.0016666666666666668,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0008,94501389,60,50,4,774.7948053431113,98.42124868763933,31.21576232315669,49.67808346268184,0.8046467982937049,-3.619670451723861,35.0,120.0,1.0,3.466608208576236,36.03684578084325,344.517057012234,556.8949052281278,0.5515910496774252,0.9459981686822997,0.0,0,0.0003333333333333333,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_0009,1977296162,60,50,5,167.54009647288797,95.15560483573725,45.789771632978926,60.449178430434685,-4.40227838925074,4.371494374559717,70.0,60.0,0.85,0.4449303560127563,2.555501280407431,-70.7606923142462,92.09879331296142,-0.3854564833012033,0.4374913955626999,0.9,1,0.217,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
