fault,depth_below_trace_m,admissible_model_count,median_x_spread_m,maximum_x_spread_m
F2,100.0,2,192.719222495894,499.8259094929484
F2,200.0,2,194.4570585158801,506.3029059672697
F2,300.0,2,188.81224608750443,512.7799024415909
F2,400.0,2,189.8374437782504,519.2568989159122
F7,100.0,2,60.21211748580117,145.37967639952035
F7,200.0,2,60.26774172844898,145.32405215687277
F7,300.0,2,60.32336597109634,145.2684279142252
F7,400.0,2,60.37899021374415,145.21280367157738
