scheme,metric,statistic,point_estimate,ci95_low,ci95_high,n_bootstrap,seed
competing_fault_count_family,DSI_2D,roc_auc,0.8750168384025137,0.8682425916407125,0.8809340084320431,500,20260806
competing_fault_count_family,DSI_2D,pr_auc,0.9491080628748156,0.9455725006789548,0.9521907610441894,500,20260806
competing_fault_count_family,DSI_2D,brier_score,0.11360553878203139,0.11035588601535597,0.11684842170524423,500,20260806
competing_fault_count_family,DSI_3D,roc_auc,0.8750168384025137,0.8683092057703151,0.8816377402411434,500,20260806
competing_fault_count_family,DSI_3D,pr_auc,0.9491080628748156,0.9455739768716848,0.9526786955470617,500,20260806
competing_fault_count_family,DSI_3D,brier_score,0.11360553878203139,0.11017297706702174,0.11705593840548477,500,20260806
competing_fault_count_family,distance_diff_2D,roc_auc,0.9814154755351774,0.9798941762534895,0.9829094096168549,500,20260806
competing_fault_count_family,distance_diff_2D,pr_auc,0.9943194177531033,0.9937974134863115,0.9948148962480619,500,20260806
competing_fault_count_family,distance_diff_2D,brier_score,0.04878038313189293,0.04637239736146786,0.05123916053095532,500,20260806
competing_fault_count_family,distance_diff_3D,roc_auc,0.9814154755351774,0.9800220252175423,0.9828005333454274,500,20260806
competing_fault_count_family,distance_diff_3D,pr_auc,0.9943194177531033,0.9938340184260741,0.9947869345890021,500,20260806
competing_fault_count_family,distance_diff_3D,brier_score,0.04878038313189293,0.046624913153271726,0.05093822194829029,500,20260806
competing_fault_count_family,normalized_margin_2D,roc_auc,0.9288923352203445,0.9253404467985126,0.9326971142345832,500,20260806
competing_fault_count_family,normalized_margin_2D,pr_auc,0.9793019636384528,0.9781592238719351,0.980553443770497,500,20260806
competing_fault_count_family,normalized_margin_2D,brier_score,0.09307191822213338,0.09026731570646235,0.0955475573480013,500,20260806
competing_fault_count_family,normalized_margin_3D,roc_auc,0.9288923352203445,0.9252701421547381,0.932380094615387,500,20260806
competing_fault_count_family,normalized_margin_3D,pr_auc,0.9793019636384528,0.978155393896306,0.9804445217670889,500,20260806
competing_fault_count_family,normalized_margin_3D,brier_score,0.09307191822213338,0.09064515982953557,0.09551595731903989,500,20260806
domain_scatter_family,DSI_2D,roc_auc,0.9303892709029482,0.9268177200290779,0.9342533603769746,500,20260806
domain_scatter_family,DSI_2D,pr_auc,0.9794635807020098,0.9782103621812747,0.9806363830549271,500,20260806
domain_scatter_family,DSI_2D,brier_score,0.11229003773857778,0.10944635549908403,0.11524986939559172,500,20260806
