scheme,metric,probability_bin,n,mean_predicted_probability,observed_reversal_fraction
competing_fault_count_family,normalized_margin_3D,"(0.6, 0.7]",470,0.6528494620134683,0.825531914893617
competing_fault_count_family,normalized_margin_3D,"(0.7, 0.8]",1011,0.7689996170957752,0.5806132542037586
competing_fault_count_family,normalized_margin_3D,"(0.8, 0.9]",1047,0.8387171833734477,0.7488061127029608
competing_fault_count_family,normalized_margin_3D,"(0.9, 1.0]",10284,0.9927829915252369,0.9970828471411902
domain_scatter_family,DSI_2D,"(-0.001, 0.1]",1296,0.023331853245953785,0.14506172839506173
domain_scatter_family,DSI_2D,"(0.1, 0.2]",327,0.1350325788301657,0.22018348623853212
domain_scatter_family,DSI_2D,"(0.2, 0.3]",190,0.25113666814132846,0.35789473684210527
domain_scatter_family,DSI_2D,"(0.3, 0.4]",249,0.3545277039023115,0.40562248995983935
domain_scatter_family,DSI_2D,"(0.4, 0.5]",373,0.454475610186326,0.2707774798927614
domain_scatter_family,DSI_2D,"(0.5, 0.6]",563,0.5458487048941864,0.2682060390763766
domain_scatter_family,DSI_2D,"(0.6, 0.7]",496,0.6528767311847511,0.4838709677419355
domain_scatter_family,DSI_2D,"(0.7, 0.8]",1409,0.756118734795921,0.4350603264726757
domain_scatter_family,DSI_2D,"(0.8, 0.9]",8344,0.872251561882348,0.8891418983700863
domain_scatter_family,DSI_2D,"(0.9, 1.0]",4753,0.9184627249008401,1.0
domain_scatter_family,DSI_3D,"(-0.001, 0.1]",1296,0.023331853245953785,0.14506172839506173
domain_scatter_family,DSI_3D,"(0.1, 0.2]",327,0.1350325788301657,0.22018348623853212
domain_scatter_family,DSI_3D,"(0.2, 0.3]",190,0.25113666814132846,0.35789473684210527
domain_scatter_family,DSI_3D,"(0.3, 0.4]",249,0.3545277039023115,0.40562248995983935
domain_scatter_family,DSI_3D,"(0.4, 0.5]",373,0.454475610186326,0.2707774798927614
domain_scatter_family,DSI_3D,"(0.5, 0.6]",563,0.5458487048941864,0.2682060390763766
domain_scatter_family,DSI_3D,"(0.6, 0.7]",496,0.6528767311847511,0.4838709677419355
domain_scatter_family,DSI_3D,"(0.7, 0.8]",1409,0.756118734795921,0.4350603264726757
domain_scatter_family,DSI_3D,"(0.8, 0.9]",8344,0.872251561882348,0.8891418983700863
domain_scatter_family,DSI_3D,"(0.9, 1.0]",4753,0.9184627249008401,1.0
domain_scatter_family,distance_diff_2D,"(-0.001, 0.1]",2795,0.011618601115731892,0.03685152057245081
domain_scatter_family,distance_diff_2D,"(0.1, 0.2]",289,0.14878961810044483,0.3737024221453287
domain_scatter_family,distance_diff_2D,"(0.2, 0.3]",247,0.24787242575996976,0.3319838056680162
domain_scatter_family,distance_diff_2D,"(0.3, 0.4]",380,0.35340948877572276,0.3394736842105263
domain_scatter_family,distance_diff_2D,"(0.4, 0.5]",304,0.45344736196474994,0.3980263157894737
domain_scatter_family,distance_diff_2D,"(0.5, 0.6]",274,0.5547489520150533,0.5109489051094891
domain_scatter_family,distance_diff_2D,"(0.6, 0.7]",336,0.6517991099493162,0.5386904761904762
domain_scatter_family,distance_diff_2D,"(0.7, 0.8]",451,0.7577566397159504,0.7073170731707317
domain_scatter_family,distance_diff_2D,"(0.8, 0.9]",904,0.8567588653504212,0.7444690265486725
domain_scatter_family,distance_diff_2D,"(0.9, 1.0]",12020,0.9828753313901972,0.9858569051580699
domain_scatter_family,distance_diff_3D,"(-0.001, 0.1]",2795,0.011618601115731892,0.03685152057245081
domain_scatter_family,distance_diff_3D,"(0.1, 0.2]",289,0.14878961810044483,0.3737024221453287
domain_scatter_family,distance_diff_3D,"(0.2, 0.3]",247,0.24787242575996976,0.3319838056680162
domain_scatter_family,distance_diff_3D,"(0.3, 0.4]",380,0.35340948877572276,0.3394736842105263
domain_scatter_family,distance_diff_3D,"(0.4, 0.5]",304,0.45344736196474994,0.3980263157894737
domain_scatter_family,distance_diff_3D,"(0.5, 0.6]",274,0.5547489520150533,0.5109489051094891
domain_scatter_family,distance_diff_3D,"(0.6, 0.7]",336,0.6517991099493162,0.5386904761904762
domain_scatter_family,distance_diff_3D,"(0.7, 0.8]",451,0.7577566397159504,0.7073170731707317
domain_scatter_family,distance_diff_3D,"(0.8, 0.9]",904,0.8567588653504212,0.7444690265486725
domain_scatter_family,distance_diff_3D,"(0.9, 1.0]",12020,0.9828753313901972,0.9858569051580699
domain_scatter_family,normalized_margin_2D,"(-0.001, 0.1]",85,0.09539974143202985,0.21176470588235294
domain_scatter_family,normalized_margin_2D,"(0.1, 0.2]",1357,0.1601971176772285,0.16654384672070743
domain_scatter_family,normalized_margin_2D,"(0.2, 0.3]",1431,0.246947350759743,0.27253668763102723
domain_scatter_family,normalized_margin_2D,"(0.3, 0.4]",944,0.3507558606866268,0.4216101694915254
domain_scatter_family,normalized_margin_2D,"(0.4, 0.5]",895,0.44328384897065715,0.4
domain_scatter_family,normalized_margin_2D,"(0.5, 0.6]",426,0.5482197833486828,0.7089201877934272
domain_scatter_family,normalized_margin_2D,"(0.6, 0.7]",687,0.6556996259786447,0.7045123726346434
domain_scatter_family,normalized_margin_2D,"(0.7, 0.8]",1155,0.7555479354513356,0.5766233766233766
domain_scatter_family,normalized_margin_2D,"(0.8, 0.9]",654,0.8534034816954464,0.8363914373088684
domain_scatter_family,normalized_margin_2D,"(0.9, 1.0]",10366,0.9924146318999629,0.9952730079104766
domain_scatter_family,normalized_margin_3D,"(-0.001, 0.1]",85,0.09539974143202985,0.21176470588235294
domain_scatter_family,normalized_margin_3D,"(0.1, 0.2]",1357,0.1601971176772285,0.16654384672070743
domain_scatter_family,normalized_margin_3D,"(0.2, 0.3]",1431,0.246947350759743,0.27253668763102723
domain_scatter_family,normalized_margin_3D,"(0.3, 0.4]",944,0.3507558606866268,0.4216101694915254
domain_scatter_family,normalized_margin_3D,"(0.4, 0.5]",895,0.44328384897065715,0.4
domain_scatter_family,normalized_margin_3D,"(0.5, 0.6]",426,0.5482197833486828,0.7089201877934272
domain_scatter_family,normalized_margin_3D,"(0.6, 0.7]",687,0.6556996259786447,0.7045123726346434
domain_scatter_family,normalized_margin_3D,"(0.7, 0.8]",1155,0.7555479354513356,0.5766233766233766
domain_scatter_family,normalized_margin_3D,"(0.8, 0.9]",654,0.8534034816954464,0.8363914373088684
domain_scatter_family,normalized_margin_3D,"(0.9, 1.0]",10366,0.9924146318999629,0.9952730079104766
