scheme,metric,n,roc_auc,pr_auc,brier_score
competing_fault_count_family,DSI_2D,18000,0.8750168384025137,0.9491080628748156,0.11360553878203139
competing_fault_count_family,DSI_3D,18000,0.8750168384025137,0.9491080628748156,0.11360553878203139
competing_fault_count_family,distance_diff_2D,18000,0.9814154755351774,0.9943194177531033,0.04878038313189293
competing_fault_count_family,distance_diff_3D,18000,0.9814154755351774,0.9943194177531033,0.04878038313189293
competing_fault_count_family,normalized_margin_2D,18000,0.9288923352203445,0.9793019636384528,0.09307191822213338
competing_fault_count_family,normalized_margin_3D,18000,0.9288923352203445,0.9793019636384528,0.09307191822213338
domain_scatter_family,DSI_2D,18000,0.9303892709029482,0.9794635807020098,0.11229003773857778
domain_scatter_family,DSI_3D,18000,0.9303892709029482,0.9794635807020098,0.11229003773857778
domain_scatter_family,distance_diff_2D,18000,0.9759358923445997,0.992549660276506,0.05496286003060449
domain_scatter_family,distance_diff_3D,18000,0.9759358923445997,0.992549660276506,0.05496286003060449
domain_scatter_family,normalized_margin_2D,18000,0.9315360663629477,0.9799318379838342,0.09120822194138974
domain_scatter_family,normalized_margin_3D,18000,0.9315360663629477,0.9799318379838342,0.09120822194138974
fault_spacing_family,DSI_2D,18000,0.8399489706349815,0.9193088069134321,0.12175970190241825
fault_spacing_family,DSI_3D,18000,0.8399489706349815,0.9193088069134321,0.12175970190241825
fault_spacing_family,distance_diff_2D,18000,0.9813773809857973,0.9943017083004322,0.04906315215120751
fault_spacing_family,distance_diff_3D,18000,0.9813773809857973,0.9943017083004322,0.04906315215120751
fault_spacing_family,normalized_margin_2D,18000,0.9187460677827429,0.9763063907402566,0.10009312700090538
fault_spacing_family,normalized_margin_3D,18000,0.9187460677827429,0.9763063907402566,0.10009312700090538
perturbation_family,DSI_2D,18000,0.9239350908298433,0.9771784895178157,0.11382987034619997
perturbation_family,DSI_3D,18000,0.9239350908298433,0.9771784895178157,0.11382987034619997
perturbation_family,distance_diff_2D,18000,0.9688543246081069,0.9905583156565445,0.06644954937342222
perturbation_family,distance_diff_3D,18000,0.9688543246081069,0.9905583156565445,0.06644954937342222
perturbation_family,normalized_margin_2D,18000,0.9238938358941184,0.9779272807508927,0.09612935536048392
perturbation_family,normalized_margin_3D,18000,0.9238938358941184,0.9779272807508927,0.09612935536048392
